movieId,title,duration,genres,releaseYear
1,Avatar (1997),162,Thriller,1997
2,Titanic (2007),195,Comedy,2007
3,Inception (1998),148,Sci-Fi,1998
4,Joker (1995),122,Action|Thriller,1995
5,Avengers (1995),181,Comedy,1995
6,Toy Story (2022),81,Horror,2022
7,Legend of Night (2011),164,Family|Comedy|Fantasy,2011
8,Beyond the Galaxy (2021),186,Animation,2021
9,Finding Hero (1991),110,Comedy,1991
10,Escape from City (1975),123,Drama,1975
11,Escape from Truth (1986),178,Thriller,1986
12,Mystery of Dream (1977),199,Adventure|Horror,1977
13,Battle for Fire (2010),154,Romance|Comedy,2010
14,Finding City (1972),159,Crime,1972
15,Return of Fire (1984),185,Family,1984
16,Battle for Shadow (2010),181,Animation|Drama,2010
17,Escape from Forest (2012),109,Sci-Fi|Thriller|Adventure,2012
18,Beyond the Code (1980),143,Comedy|Animation|Fantasy,1980
19,Chronicles of Galaxy (2010),163,Comedy|Sci-Fi|Drama,2010
20,The Last Forest (2022),79,Family|Crime,2022
21,Return of Forest (2006),187,Drama|Comedy|Fantasy,2006
22,Chronicles of Light (2011),133,Crime,2011
23,Rise of Forest (2017),146,Crime|Romance|Family,2017
24,Beyond the Hero (1993),103,Horror,1993
25,Mystery of City (2018),81,Animation,2018
26,Secrets of Empire (2020),162,Romance|Adventure,2020
27,Chronicles of Hero (2008),134,Crime|Horror|Action,2008
28,Secrets of Night (1977),162,Crime|Sci-Fi|Drama,1977
29,Return of Galaxy (1997),95,Action|Crime,1997
30,Journey to River (1981),139,Sci-Fi,1981
31,Battle for Fire (2010),139,Comedy|Animation|Drama,2010
32,Rise of Dream (2019),193,Action|Romance|Drama,2019
33,Mystery of Kingdom (1977),193,Crime|Comedy,1977
34,The Last Forest (2026),147,Adventure,2026
35,Finding Shadow (2022),83,Animation|Thriller|Fantasy,2022
36,Journey to Empire (1986),142,Family|Comedy|Horror,1986
37,Finding Night (1982),166,Family|Sci-Fi,1982
38,Secrets of Isle (1998),190,Fantasy|Adventure|Comedy,1998
39,Legend of City (1991),77,Horror|Comedy|Romance,1991
40,Legend of Kingdom (1974),165,Action|Comedy|Adventure,1974
41,The Last Fire (1991),84,Comedy|Crime|Fantasy,1991
42,Legend of Dream (1978),167,Romance|Fantasy|Comedy,1978
43,Mystery of River (1996),99,Adventure,1996
44,Secrets of Hero (1992),129,Fantasy|Action,1992
45,Secrets of Code (2011),87,Family,2011
46,Finding Isle (2021),185,Comedy,2021
47,Legend of Forest (2004),132,Family,2004
48,Rise of Galaxy (1999),106,Fantasy,1999
49,Journey to City (1973),158,Action|Adventure|Comedy,1973
50,Rise of Hero (2001),136,Family,2001
51,The Last Empire (1994),75,Crime|Fantasy,1994
52,Battle for Hero (2014),197,Horror|Sci-Fi|Fantasy,2014
53,Rise of Forest (1988),102,Romance,1988
54,Finding Dream (1973),170,Action|Thriller,1973
55,Beyond the Shadow (2002),192,Animation|Action|Horror,2002
56,Return of Fire (1981),83,Adventure|Sci-Fi|Comedy,1981
57,Chronicles of City (2026),147,Romance,2026
58,Beyond the Kingdom (2009),85,Sci-Fi|Romance,2009
59,Beyond the Dream (1990),194,Comedy|Sci-Fi,1990
60,Finding Isle (1985),108,Animation|Sci-Fi,1985
61,Secrets of Galaxy (1999),115,Action,1999
62,Mystery of Truth (2006),87,Horror,2006
63,Legend of Dream (1986),91,Adventure|Comedy,1986
64,Escape from Galaxy (1980),131,Thriller|Crime|Romance,1980
65,Secrets of Dream (1970),160,Crime|Sci-Fi|Adventure,1970
66,Rise of Galaxy (1977),188,Thriller,1977
67,Journey to Empire (1987),111,Comedy|Drama|Thriller,1987
68,Secrets of Code (2024),108,Fantasy|Crime|Action,2024
69,Return of Code (1997),181,Action|Thriller,1997
70,Escape from River (1978),156,Animation|Fantasy,1978
71,Journey to Night (1997),146,Adventure,1997
72,Return of Light (2014),190,Horror,2014
73,The Last Fire (1993),149,Animation|Family|Thriller,1993
74,The Last Galaxy (1993),190,Drama,1993
75,Legend of Code (1985),160,Drama,1985
76,Journey to Light (2025),127,Thriller|Animation|Comedy,2025
77,Rise of River (2021),97,Action|Animation,2021
78,Finding Light (1991),175,Sci-Fi|Comedy,1991
79,Battle for Empire (2020),164,Family,2020
80,The Last Fire (2000),103,Fantasy,2000
81,Escape from Galaxy (2022),176,Comedy,2022
82,The Last Code (1982),126,Crime|Adventure,1982
83,Battle for Isle (2011),140,Sci-Fi|Horror,2011
84,Escape from Kingdom (1977),187,Animation|Romance,1977
85,Battle for Kingdom (1976),151,Drama|Thriller,1976
86,Chronicles of Truth (2002),89,Romance|Comedy,2002
87,Battle for Kingdom (2015),130,Horror,2015
88,Journey to Code (2016),195,Thriller|Sci-Fi|Comedy,2016
89,Escape from Hero (1974),196,Drama|Romance|Thriller,1974
90,Secrets of Fire (1977),167,Horror|Crime,1977
91,Secrets of Hero (1990),126,Crime|Horror|Animation,1990
92,Legend of Hero (2012),195,Sci-Fi|Animation,2012
93,Beyond the Truth (1989),126,Action|Crime|Sci-Fi,1989
94,Legend of Hero (2020),149,Sci-Fi|Drama|Fantasy,2020
95,Mystery of Shadow (2013),102,Fantasy|Animation|Adventure,2013
96,Battle for Dream (2012),156,Drama|Adventure|Comedy,2012
97,Secrets of Galaxy (1984),178,Animation,1984
